,INFLATION,DXY,SP500,10Y_BOND,Term Spread,UNEMPLOYMENT,EXPINF10YR,loan interest calculator,current interest rate,home prices,Ohio gas prices,gas station prices,house prices,current inflation,costco gas,oil prices,inflation rates,costco gas prices,house for sale,house sale prices,houses for sale,mortgage rate,gas prices,natural gas prices,savings account interest,interest rate mortgage,natural gas,texas house prices,gas prices today,what is inflation,inflation rate,cheap gas prices,inflation index,cheap gas,transitory inflation,best gas prices,current inflation rate,what is interest rate,inflation checks,calculate interest rate,fed interest rate,lowest gas prices,us inflation rate,cheapest gas prices,savings account interest rate,inflation,interest rate,average interest rate,interest calculator,inflation calculator,money inflation,federal interest rate,economy,inflation in us,bank rate,interest rate increase,cpi inflation,real interest rate,how does raising interest rates help inflation,what is the interest rate,cpi,rate of inflation,what is the inflation rate,loan calculator,inflation definition,real estate prices,us inflation,what is inflation rate,california house prices,interest rate calculator,high gas prices,car loan interest rate,us gas prices,gdp,interest rate today,unemployment rate,annual interest rate,interest rates
2017-05-01,1.85634,96.91999816894531,2411.800048828125,2.196000099182129,1.2460001111030579,4.4,1.84054543,60.0,34.0,47.0,15.0,16.0,68.0,22.0,13.0,18.0,15.0,7.0,69.0,27.0,66.0,20.0,7.0,13.0,30.0,21.0,46.0,40.0,3.0,27.0,29.0,5.0,21.0,16.0,0.0,10.0,20.0,33.0,0.0,51.0,14.0,7.0,31.0,10.0,28.0,23.0,43.0,45.0,47.0,44.0,34.0,22.0,59.0,26.0,44.0,29.0,21.0,33.0,0.0,31.0,31.0,35.0,22.0,79.0,71.0,18.0,25.0,23.0,15.0,49.0,1.0,47.0,3.0,62.0,11.0,25.0,38.0,25.0
2017-06-01,1.64057,95.66000366210938,2423.409912109375,2.302000045776367,1.3090000748634338,4.3,1.73020088,57.0,29.0,59.0,14.0,15.0,77.0,13.0,15.0,20.0,11.0,8.0,67.0,26.0,65.0,21.0,7.0,14.0,25.0,20.0,45.0,51.0,3.0,14.0,20.0,5.0,18.0,16.0,0.0,10.0,14.0,26.0,0.0,42.0,16.0,6.0,19.0,11.0,25.0,17.0,41.0,38.0,41.0,39.0,15.0,21.0,37.0,15.0,41.0,21.0,15.0,20.0,0.0,24.0,31.0,23.0,15.0,76.0,28.0,16.0,16.0,14.0,15.0,46.0,1.0,47.0,3.0,41.0,11.0,18.0,25.0,25.0
2017-07-01,1.72511,92.86000061035156,2470.300048828125,2.2920000553131104,1.2390000820159912,4.3,1.84955694,63.0,25.0,52.0,16.0,17.0,81.0,13.0,16.0,16.0,11.0,9.0,77.0,31.0,72.0,21.0,7.0,16.0,26.0,21.0,40.0,58.0,4.0,14.0,20.0,5.0,15.0,18.0,0.0,9.0,15.0,23.0,0.0,39.0,9.0,11.0,19.0,12.0,21.0,16.0,36.0,38.0,42.0,40.0,15.0,18.0,36.0,13.0,39.0,17.0,15.0,21.0,0.0,20.0,29.0,22.0,14.0,84.0,18.0,17.0,16.0,14.0,27.0,44.0,1.0,47.0,3.0,41.0,11.0,16.0,24.0,22.0
2017-08-01,1.92812,92.66999816894531,2471.64990234375,2.121000051498413,1.143000066280365,4.4,1.8153385,62.0,24.0,46.0,18.0,21.0,69.0,13.0,16.0,17.0,9.0,8.0,68.0,26.0,64.0,18.0,10.0,14.0,24.0,19.0,42.0,46.0,5.0,11.0,18.0,6.0,14.0,18.0,0.0,11.0,16.0,22.0,0.0,35.0,6.0,8.0,20.0,10.0,19.0,16.0,34.0,41.0,43.0,41.0,13.0,17.0,40.0,12.0,41.0,10.0,10.0,13.0,0.0,19.0,32.0,16.0,9.0,80.0,28.0,16.0,16.0,10.0,14.0,44.0,3.0,43.0,3.0,37.0,9.0,17.0,17.0,20.0
2017-09-01,2.18057,93.08000183105469,2519.360107421875,2.3259999752044678,1.2979999780654907,4.3,1.84386995,59.0,33.0,43.0,21.0,24.0,61.0,16.0,20.0,15.0,16.0,12.0,59.0,26.0,54.0,19.0,13.0,13.0,34.0,19.0,44.0,47.0,6.0,21.0,27.0,7.0,26.0,21.0,0.0,15.0,19.0,32.0,0.0,55.0,8.0,11.0,23.0,15.0,30.0,19.0,41.0,44.0,48.0,44.0,22.0,15.0,53.0,21.0,41.0,21.0,24.0,26.0,0.0,32.0,33.0,33.0,21.0,76.0,53.0,17.0,21.0,22.0,14.0,53.0,3.0,44.0,5.0,64.0,16.0,18.0,46.0,22.0
2017-10-01,2.02076,94.55000305175781,2575.260009765625,2.375999927520752,1.2529999017715454,4.2,1.89298914,61.0,37.0,44.0,18.0,17.0,71.0,27.0,15.0,14.0,18.0,8.0,57.0,26.0,55.0,19.0,6.0,14.0,35.0,22.0,48.0,33.0,3.0,31.0,37.0,5.0,37.0,15.0,0.0,10.0,30.0,42.0,0.0,67.0,8.0,7.0,35.0,8.0,33.0,23.0,48.0,44.0,54.0,46.0,30.0,19.0,55.0,29.0,42.0,31.0,37.0,46.0,0.0,43.0,38.0,50.0,33.0,77.0,67.0,15.0,26.0,33.0,16.0,56.0,1.0,43.0,2.0,75.0,16.0,24.0,60.0,23.0
2017-11-01,2.17249,93.01000213623047,2647.580078125,2.4170000553131104,1.1790000200271606,4.2,1.92496508,56.0,38.0,46.0,21.0,18.0,56.0,22.0,15.0,18.0,21.0,9.0,53.0,23.0,49.0,19.0,7.0,15.0,31.0,21.0,50.0,34.0,5.0,33.0,35.0,5.0,24.0,17.0,2.0,10.0,25.0,38.0,0.0,59.0,16.0,6.0,31.0,11.0,29.0,24.0,45.0,46.0,53.0,52.0,39.0,22.0,52.0,30.0,38.0,37.0,24.0,48.0,0.0,38.0,33.0,46.0,29.0,73.0,66.0,14.0,25.0,31.0,13.0,51.0,2.0,43.0,3.0,68.0,13.0,22.0,48.0,21.0
2017-12-01,2.12993,92.12000274658203,2673.610107421875,2.4049999713897705,1.0499999523162842,4.1,2.01118703,53.0,32.0,48.0,16.0,19.0,61.0,19.0,15.0,15.0,16.0,8.0,47.0,18.0,47.0,17.0,6.0,21.0,27.0,20.0,51.0,35.0,3.0,26.0,28.0,5.0,22.0,15.0,2.0,9.0,19.0,30.0,0.0,50.0,19.0,7.0,27.0,9.0,27.0,23.0,41.0,43.0,50.0,56.0,35.0,23.0,49.0,27.0,41.0,34.0,22.0,32.0,0.0,27.0,30.0,34.0,22.0,67.0,68.0,15.0,23.0,23.0,14.0,48.0,1.0,40.0,3.0,64.0,11.0,20.0,33.0,21.0
2018-01-01,2.15132,89.12999725341797,2823.81005859375,2.7200000286102295,1.290000081062317,4.0,1.95641907,68.0,26.0,47.0,14.0,17.0,63.0,15.0,15.0,21.0,13.0,10.0,59.0,23.0,62.0,20.0,7.0,25.0,34.0,24.0,57.0,30.0,5.0,19.0,28.0,4.0,26.0,16.0,0.0,9.0,17.0,24.0,0.0,44.0,8.0,8.0,33.0,10.0,29.0,22.0,41.0,45.0,60.0,54.0,23.0,15.0,55.0,26.0,41.0,16.0,21.0,20.0,0.0,20.0,36.0,29.0,13.0,80.0,63.0,17.0,25.0,15.0,15.0,56.0,1.0,48.0,2.0,63.0,10.0,28.0,24.0,23.0
2018-02-01,2.26347,90.61000061035156,2713.830078125,2.868000030517578,1.25,4.1,2.07333165,73.0,43.0,48.0,15.0,16.0,64.0,29.0,14.0,14.0,26.0,10.0,63.0,27.0,59.0,24.0,6.0,16.0,38.0,31.0,49.0,40.0,5.0,35.0,42.0,5.0,40.0,15.0,0.0,9.0,29.0,41.0,0.0,69.0,13.0,6.0,37.0,8.0,36.0,28.0,54.0,55.0,61.0,54.0,27.0,22.0,61.0,32.0,48.0,36.0,40.0,46.0,0.0,40.0,44.0,49.0,30.0,86.0,74.0,18.0,31.0,31.0,18.0,66.0,2.0,56.0,3.0,75.0,19.0,25.0,60.0,33.0
2018-03-01,2.33095,89.97000122070312,2640.8701171875,2.740999937057495,1.0709999799728394,4.0,1.97024161,65.0,40.0,48.0,17.0,18.0,65.0,22.0,16.0,12.0,19.0,11.0,67.0,24.0,66.0,22.0,7.0,12.0,35.0,28.0,49.0,52.0,3.0,32.0,35.0,6.0,29.0,17.0,0.0,10.0,25.0,41.0,0.0,64.0,17.0,7.0,28.0,11.0,32.0,24.0,50.0,53.0,59.0,59.0,31.0,24.0,54.0,27.0,47.0,35.0,30.0,45.0,0.0,41.0,32.0,46.0,34.0,90.0,60.0,15.0,23.0,34.0,14.0,60.0,2.0,55.0,3.0,67.0,16.0,24.0,51.0,29.0
2018-04-01,2.471,91.83999633789062,2648.050048828125,2.936000108718872,1.1730000972747803,4.0,1.98436343,70.0,42.0,52.0,24.0,21.0,66.0,29.0,19.0,15.0,23.0,13.0,70.0,24.0,69.0,24.0,10.0,11.0,37.0,28.0,47.0,51.0,8.0,38.0,41.0,9.0,30.0,20.0,0.0,12.0,29.0,40.0,0.0,66.0,18.0,12.0,39.0,14.0,33.0,25.0,53.0,56.0,60.0,53.0,44.0,28.0,58.0,34.0,48.0,49.0,25.0,57.0,3.0,45.0,35.0,52.0,38.0,89.0,65.0,17.0,31.0,37.0,18.0,63.0,4.0,54.0,5.0,70.0,15.0,25.0,57.0,30.0
2018-05-01,2.78192,93.98999786376953,2705.27001953125,2.822000026702881,0.9520000219345093,3.8,2.09161804,67.0,37.0,45.0,28.0,23.0,69.0,21.0,23.0,21.0,17.0,14.0,70.0,28.0,66.0,22.0,14.0,11.0,34.0,28.0,47.0,28.0,9.0,30.0,31.0,11.0,23.0,23.0,0.0,17.0,23.0,36.0,1.0,58.0,12.0,18.0,29.0,19.0,31.0,24.0,47.0,54.0,55.0,52.0,32.0,22.0,57.0,25.0,46.0,29.0,22.0,35.0,0.0,34.0,33.0,35.0,23.0,84.0,62.0,17.0,23.0,25.0,15.0,54.0,7.0,53.0,8.0,59.0,14.0,23.0,40.0,28.0
2018-06-01,2.80755,94.62999725341797,2718.3701171875,2.8489999771118164,0.968999981880188,4.0,2.04590296,68.0,36.0,52.0,19.0,23.0,72.0,17.0,24.0,15.0,12.0,13.0,75.0,30.0,69.0,23.0,10.0,10.0,28.0,29.0,42.0,51.0,5.0,17.0,21.0,7.0,18.0,20.0,0.0,14.0,19.0,29.0,0.0,45.0,18.0,13.0,23.0,17.0,27.0,18.0,44.0,47.0,52.0,47.0,18.0,22.0,41.0,17.0,42.0,22.0,16.0,25.0,0.0,26.0,30.0,24.0,14.0,87.0,27.0,16.0,19.0,15.0,20.0,56.0,3.0,50.0,6.0,50.0,17.0,28.0,26.0,28.0
2018-07-01,2.85412,94.48999786376953,2816.2900390625,2.9639999866485596,0.9789999723434448,3.8,2.09571821,67.0,37.0,53.0,24.0,24.0,75.0,20.0,25.0,14.0,13.0,12.0,75.0,32.0,76.0,20.0,9.0,11.0,30.0,27.0,41.0,48.0,4.0,15.0,23.0,8.0,18.0,20.0,0.0,15.0,21.0,27.0,0.0,39.0,10.0,9.0,25.0,19.0,27.0,19.0,42.0,45.0,55.0,50.0,17.0,19.0,41.0,17.0,43.0,16.0,14.0,20.0,0.0,24.0,29.0,24.0,15.0,89.0,20.0,17.0,21.0,16.0,17.0,54.0,2.0,54.0,3.0,85.0,13.0,19.0,24.0,25.0
2018-08-01,2.64292,95.13999938964844,2901.52001953125,2.8529999256134033,0.7979998588562012,3.8,2.14036185,64.0,29.0,50.0,20.0,22.0,69.0,19.0,22.0,14.0,11.0,11.0,70.0,28.0,70.0,19.0,8.0,9.0,28.0,25.0,39.0,49.0,4.0,14.0,22.0,7.0,15.0,18.0,0.0,13.0,21.0,25.0,0.0,38.0,12.0,10.0,26.0,16.0,26.0,20.0,39.0,43.0,52.0,53.0,15.0,18.0,46.0,17.0,39.0,12.0,14.0,16.0,0.0,21.0,31.0,19.0,11.0,87.0,25.0,17.0,20.0,13.0,19.0,49.0,1.0,47.0,3.0,55.0,11.0,22.0,20.0,26.0
2018-09-01,2.33206,95.19000244140625,2913.97998046875,3.055999994277954,0.9059998989105225,3.7,2.13615266,63.0,40.0,46.0,21.0,18.0,64.0,27.0,23.0,11.0,17.0,11.0,64.0,23.0,60.0,16.0,8.0,11.0,35.0,27.0,43.0,32.0,5.0,26.0,35.0,6.0,28.0,18.0,0.0,11.0,30.0,40.0,0.0,60.0,19.0,10.0,31.0,12.0,33.0,24.0,49.0,52.0,56.0,53.0,24.0,22.0,61.0,24.0,44.0,30.0,30.0,32.0,0.0,39.0,35.0,39.0,26.0,81.0,55.0,15.0,24.0,27.0,19.0,60.0,2.0,53.0,3.0,76.0,18.0,24.0,57.0,26.0
2018-10-01,2.49203,97.12999725341797,2711.739990234375,3.1589999198913574,0.8809998035430908,3.8,2.16677604,60.0,48.0,53.0,23.0,20.0,71.0,28.0,22.0,17.0,23.0,11.0,61.0,26.0,56.0,21.0,8.0,16.0,41.0,28.0,51.0,46.0,4.0,35.0,43.0,6.0,35.0,19.0,4.0,11.0,31.0,49.0,0.0,64.0,20.0,12.0,35.0,14.0,39.0,26.0,55.0,52.0,54.0,54.0,30.0,24.0,61.0,30.0,47.0,38.0,35.0,50.0,0.0,46.0,37.0,52.0,37.0,74.0,63.0,17.0,27.0,37.0,18.0,61.0,2.0,47.0,4.0,80.0,20.0,30.0,64.0,32.0
2018-11-01,2.14733,97.2699966430664,2760.169921875,3.013000011444092,0.7049999237060547,3.8,2.15417847,58.0,40.0,48.0,24.0,21.0,61.0,25.0,24.0,23.0,20.0,13.0,54.0,23.0,52.0,17.0,10.0,28.0,33.0,23.0,55.0,54.0,6.0,33.0,35.0,6.0,29.0,18.0,0.0,14.0,26.0,40.0,0.0,61.0,21.0,15.0,31.0,15.0,29.0,25.0,47.0,49.0,48.0,58.0,36.0,25.0,56.0,30.0,41.0,40.0,25.0,43.0,0.0,40.0,34.0,42.0,33.0,72.0,56.0,16.0,27.0,34.0,12.0,51.0,2.0,48.0,5.0,69.0,14.0,25.0,49.0,26.0
2018-12-01,2.00238,96.16999816894531,2506.85009765625,2.686000108718872,0.3860001564025879,3.9,2.09134924,58.0,39.0,40.0,28.0,22.0,61.0,22.0,27.0,23.0,16.0,15.0,52.0,22.0,49.0,21.0,11.0,20.0,36.0,25.0,48.0,43.0,6.0,26.0,31.0,6.0,21.0,19.0,2.0,12.0,22.0,35.0,0.0,47.0,36.0,16.0,34.0,19.0,32.0,24.0,47.0,45.0,49.0,63.0,32.0,28.0,51.0,25.0,42.0,35.0,21.0,30.0,6.0,32.0,30.0,35.0,24.0,71.0,50.0,14.0,25.0,26.0,10.0,52.0,2.0,48.0,6.0,59.0,16.0,20.0,36.0,30.0
2019-01-01,1.55068,95.58000183105469,2704.10009765625,2.634999990463257,0.2950000762939453,4.0,1.95832446,64.0,32.0,40.0,23.0,20.0,66.0,21.0,22.0,20.0,13.0,12.0,63.0,25.0,63.0,20.0,10.0,21.0,44.0,27.0,53.0,50.0,7.0,23.0,29.0,5.0,21.0,16.0,0.0,13.0,24.0,34.0,1.0,44.0,12.0,13.0,33.0,15.0,36.0,22.0,44.0,50.0,61.0,57.0,24.0,20.0,56.0,22.0,44.0,20.0,19.0,19.0,0.0,31.0,33.0,28.0,20.0,80.0,53.0,13.0,25.0,21.0,16.0,56.0,1.0,51.0,5.0,60.0,15.0,25.0,35.0,28.0
2019-02-01,1.52006,96.16000366210938,2784.489990234375,2.7109999656677246,0.3280000686645508,3.8,1.97069441,71.0,41.0,40.0,24.0,20.0,63.0,25.0,20.0,13.0,19.0,11.0,67.0,23.0,65.0,20.0,8.0,15.0,49.0,27.0,50.0,63.0,4.0,33.0,42.0,4.0,31.0,17.0,3.0,12.0,26.0,46.0,0.0,75.0,11.0,7.0,42.0,14.0,42.0,25.0,54.0,52.0,66.0,58.0,29.0,20.0,62.0,31.0,44.0,34.0,34.0,42.0,2.0,47.0,37.0,50.0,34.0,85.0,61.0,14.0,29.0,35.0,20.0,65.0,1.0,55.0,2.0,80.0,17.0,23.0,65.0,28.0
2019-03-01,1.85314,97.27999877929688,2834.39990234375,2.4140000343322754,0.08599996566772461,3.8,1.69207771,69.0,41.0,43.0,30.0,23.0,63.0,28.0,25.0,12.0,17.0,14.0,71.0,21.0,69.0,23.0,10.0,11.0,47.0,28.0,47.0,44.0,5.0,35.0,42.0,6.0,31.0,20.0,2.0,13.0,31.0,42.0,0.0,61.0,14.0,8.0,39.0,17.0,39.0,26.0,53.0,55.0,63.0,58.0,33.0,23.0,57.0,28.0,48.0,31.0,30.0,42.0,0.0,42.0,37.0,51.0,36.0,87.0,64.0,13.0,27.0,38.0,16.0,62.0,2.0,58.0,3.0,72.0,16.0,23.0,51.0,29.0
2019-04-01,1.99179,97.4800033569336,2945.830078125,2.509000062942505,0.14100003242492676,3.6,1.74737586,68.0,42.0,43.0,29.0,26.0,60.0,28.0,31.0,13.0,21.0,19.0,72.0,24.0,70.0,24.0,13.0,11.0,44.0,29.0,47.0,46.0,8.0,38.0,43.0,7.0,27.0,25.0,3.0,18.0,28.0,47.0,1.0,64.0,17.0,12.0,41.0,20.0,37.0,26.0,55.0,54.0,67.0,56.0,47.0,27.0,62.0,33.0,49.0,44.0,24.0,48.0,0.0,46.0,29.0,53.0,37.0,90.0,68.0,14.0,30.0,36.0,16.0,63.0,5.0,52.0,5.0,77.0,14.0,27.0,51.0,29.0
2019-05-01,1.79352,97.75,2752.06005859375,2.1419999599456787,-0.1510000228881836,3.7,1.80265678,66.0,37.0,44.0,27.0,24.0,67.0,22.0,30.0,11.0,18.0,16.0,79.0,23.0,75.0,22.0,10.0,11.0,38.0,27.0,47.0,53.0,6.0,31.0,32.0,6.0,23.0,22.0,2.0,16.0,23.0,37.0,0.0,49.0,11.0,8.0,32.0,15.0,34.0,25.0,48.0,52.0,55.0,54.0,34.0,21.0,59.0,29.0,43.0,24.0,21.0,36.0,2.0,34.0,32.0,36.0,26.0,90.0,63.0,13.0,24.0,28.0,12.0,57.0,2.0,53.0,4.0,62.0,14.0,26.0,38.0,27.0
2019-06-01,1.64968,96.12999725341797,2941.760009765625,2.0,-0.03500008583068848,3.6,1.63705342,67.0,37.0,50.0,34.0,24.0,65.0,15.0,32.0,14.0,11.0,18.0,78.0,23.0,76.0,27.0,11.0,11.0,36.0,32.0,43.0,37.0,6.0,18.0,22.0,6.0,16.0,22.0,0.0,16.0,17.0,33.0,1.0,49.0,20.0,9.0,25.0,15.0,32.0,19.0,46.0,49.0,58.0,51.0,19.0,23.0,42.0,17.0,40.0,17.0,14.0,22.0,2.0,30.0,32.0,24.0,18.0,85.0,25.0,15.0,18.0,18.0,11.0,54.0,2.0,48.0,4.0,41.0,16.0,17.0,33.0,31.0
2019-07-01,1.77976,98.5199966430664,2980.3798828125,2.0209999084472656,-0.009000062942504883,3.7,1.67609847,65.0,38.0,44.0,36.0,27.0,68.0,17.0,33.0,11.0,11.0,19.0,81.0,25.0,78.0,27.0,11.0,12.0,36.0,31.0,43.0,50.0,6.0,16.0,23.0,6.0,17.0,23.0,0.0,16.0,18.0,30.0,0.0,38.0,36.0,9.0,26.0,15.0,30.0,19.0,48.0,48.0,64.0,54.0,18.0,29.0,40.0,15.0,43.0,16.0,13.0,21.0,0.0,26.0,31.0,23.0,15.0,89.0,17.0,15.0,19.0,16.0,11.0,55.0,1.0,46.0,3.0,44.0,18.0,18.0,25.0,35.0
2019-08-01,1.74678,98.91999816894531,2926.4599609375,1.50600004196167,-0.42699992656707764,3.7,1.65909585,66.0,37.0,41.0,29.0,22.0,62.0,18.0,32.0,12.0,9.0,16.0,71.0,23.0,72.0,37.0,9.0,14.0,36.0,37.0,40.0,47.0,5.0,15.0,22.0,5.0,15.0,20.0,0.0,13.0,18.0,30.0,0.0,39.0,24.0,8.0,27.0,13.0,32.0,18.0,48.0,44.0,59.0,54.0,16.0,25.0,47.0,18.0,45.0,10.0,10.0,14.0,0.0,25.0,34.0,19.0,12.0,88.0,25.0,14.0,19.0,13.0,18.0,55.0,1.0,47.0,2.0,45.0,21.0,16.0,17.0,38.0
2019-09-01,1.71662,99.37999725341797,2976.739990234375,1.6749999523162842,-0.09500002861022949,3.5,1.56044845,64.0,51.0,37.0,30.0,24.0,63.0,21.0,33.0,20.0,14.0,16.0,70.0,23.0,64.0,34.0,11.0,15.0,41.0,35.0,45.0,48.0,7.0,27.0,31.0,5.0,25.0,21.0,0.0,14.0,25.0,44.0,0.0,66.0,31.0,7.0,36.0,13.0,38.0,21.0,58.0,49.0,60.0,55.0,25.0,28.0,62.0,25.0,48.0,25.0,26.0,33.0,0.0,45.0,43.0,36.0,26.0,77.0,55.0,14.0,24.0,26.0,16.0,60.0,2.0,46.0,4.0,62.0,29.0,21.0,58.0,37.0
2019-10-01,1.76918,97.3499984741211,3037.56005859375,1.690999984741211,0.1929999589920044,3.6,1.64198724,60.0,44.0,35.0,25.0,22.0,64.0,27.0,32.0,11.0,18.0,18.0,62.0,21.0,58.0,24.0,10.0,16.0,45.0,28.0,51.0,43.0,6.0,36.0,39.0,6.0,33.0,21.0,0.0,15.0,32.0,41.0,0.0,66.0,23.0,6.0,36.0,16.0,39.0,25.0,54.0,48.0,54.0,64.0,29.0,25.0,58.0,29.0,45.0,32.0,34.0,42.0,2.0,45.0,38.0,49.0,35.0,80.0,66.0,12.0,25.0,38.0,14.0,58.0,4.0,47.0,4.0,70.0,23.0,25.0,60.0,30.0
2019-11-01,2.0622,98.2699966430664,3140.97998046875,1.7760000228881836,0.23600006103515625,3.6,1.67935282,54.0,40.0,37.0,25.0,22.0,54.0,21.0,29.0,10.0,18.0,13.0,58.0,17.0,52.0,20.0,9.0,19.0,41.0,24.0,54.0,25.0,5.0,34.0,36.0,6.0,27.0,24.0,3.0,14.0,22.0,38.0,0.0,54.0,16.0,6.0,34.0,14.0,35.0,25.0,49.0,48.0,56.0,64.0,34.0,24.0,53.0,27.0,40.0,32.0,26.0,41.0,0.0,38.0,31.0,45.0,35.0,71.0,51.0,12.0,24.0,34.0,11.0,52.0,2.0,43.0,3.0,62.0,16.0,22.0,45.0,25.0
2019-12-01,2.31399,96.38999938964844,3230.780029296875,1.9190000295639038,0.4140000343322754,3.6,1.7145255,52.0,30.0,35.0,26.0,19.0,55.0,22.0,29.0,10.0,16.0,13.0,53.0,18.0,54.0,18.0,8.0,17.0,39.0,20.0,47.0,47.0,5.0,28.0,33.0,7.0,21.0,17.0,0.0,13.0,24.0,31.0,0.0,46.0,14.0,6.0,32.0,14.0,33.0,23.0,40.0,44.0,56.0,63.0,30.0,18.0,50.0,25.0,36.0,25.0,19.0,27.0,0.0,30.0,24.0,32.0,25.0,71.0,42.0,11.0,24.0,25.0,14.0,46.0,1.0,44.0,3.0,55.0,11.0,21.0,33.0,23.0
2020-01-01,2.50042,97.38999938964844,3225.52001953125,1.5199999809265137,0.009999990463256836,3.5,1.7346773,69.0,34.0,39.0,25.0,22.0,58.0,19.0,25.0,16.0,11.0,13.0,67.0,26.0,67.0,20.0,9.0,19.0,52.0,28.0,53.0,38.0,5.0,22.0,29.0,6.0,18.0,17.0,0.0,14.0,19.0,35.0,0.0,43.0,9.0,6.0,33.0,16.0,44.0,21.0,45.0,50.0,67.0,62.0,23.0,18.0,55.0,24.0,41.0,15.0,17.0,20.0,0.0,31.0,31.0,26.0,18.0,78.0,39.0,14.0,23.0,21.0,16.0,58.0,1.0,49.0,4.0,58.0,14.0,24.0,30.0,28.0
2020-02-01,2.33932,98.12999725341797,2954.219970703125,1.1269999742507935,-0.10300004482269287,3.5,1.61900368,75.0,46.0,43.0,30.0,22.0,65.0,26.0,25.0,13.0,20.0,13.0,68.0,29.0,72.0,29.0,9.0,17.0,58.0,33.0,50.0,51.0,6.0,33.0,42.0,5.0,29.0,17.0,0.0,13.0,25.0,50.0,0.0,64.0,10.0,6.0,41.0,15.0,49.0,25.0,59.0,63.0,70.0,63.0,31.0,22.0,61.0,31.0,46.0,33.0,33.0,43.0,0.0,53.0,35.0,48.0,38.0,87.0,52.0,13.0,27.0,38.0,19.0,65.0,1.0,57.0,3.0,76.0,23.0,30.0,68.0,32.0
2020-03-01,1.54287,99.05000305175781,2584.590087890625,0.6980000138282776,0.6680000144988298,4.4,1.26977517,78.0,100.0,48.0,49.0,32.0,67.0,22.0,32.0,72.0,20.0,30.0,57.0,24.0,60.0,100.0,23.0,21.0,43.0,100.0,44.0,41.0,22.0,36.0,34.0,13.0,25.0,21.0,0.0,21.0,24.0,67.0,1.0,58.0,100.0,28.0,29.0,36.0,40.0,24.0,100.0,61.0,71.0,53.0,40.0,100.0,72.0,28.0,65.0,36.0,24.0,49.0,0.0,73.0,29.0,43.0,36.0,79.0,49.0,25.0,24.0,36.0,26.0,75.0,3.0,48.0,13.0,70.0,100.0,67.0,50.0,100.0
2020-04-01,0.3452,99.0199966430664,2912.429931640625,0.621999979019165,0.5319999754428864,14.7,1.15834975,77.0,58.0,49.0,39.0,28.0,61.0,25.0,28.0,100.0,24.0,30.0,66.0,29.0,74.0,42.0,20.0,21.0,49.0,43.0,48.0,36.0,19.0,46.0,40.0,10.0,28.0,18.0,0.0,21.0,25.0,58.0,2.0,70.0,18.0,38.0,32.0,40.0,42.0,26.0,62.0,55.0,67.0,57.0,57.0,34.0,80.0,38.0,55.0,58.0,26.0,64.0,0.0,59.0,26.0,59.0,46.0,81.0,57.0,25.0,27.0,45.0,18.0,71.0,3.0,49.0,13.0,79.0,31.0,100.0,67.0,46.0
2020-05-01,0.22641,98.33999633789062,3044.31005859375,0.6480000019073486,0.5199999958276749,13.2,1.16234276,80.0,46.0,49.0,21.0,18.0,60.0,21.0,21.0,34.0,19.0,14.0,85.0,33.0,90.0,37.0,9.0,15.0,54.0,42.0,50.0,41.0,8.0,36.0,33.0,5.0,25.0,14.0,0.0,13.0,22.0,46.0,1.0,63.0,13.0,9.0,25.0,15.0,42.0,24.0,58.0,55.0,67.0,59.0,44.0,29.0,55.0,26.0,45.0,39.0,24.0,46.0,1.0,48.0,25.0,42.0,35.0,95.0,43.0,21.0,24.0,35.0,22.0,69.0,1.0,53.0,3.0,59.0,25.0,70.0,50.0,41.0
2020-06-01,0.71602,97.38999938964844,3100.2900390625,0.652999997138977,0.517999991774559,11.0,1.23186673,80.0,40.0,41.0,15.0,16.0,63.0,15.0,19.0,25.0,13.0,10.0,93.0,24.0,91.0,36.0,6.0,13.0,47.0,40.0,44.0,27.0,5.0,20.0,22.0,4.0,19.0,13.0,0.0,11.0,17.0,40.0,0.0,53.0,10.0,7.0,21.0,9.0,43.0,19.0,53.0,52.0,63.0,56.0,23.0,22.0,38.0,20.0,43.0,22.0,17.0,28.0,2.0,37.0,37.0,27.0,19.0,100.0,23.0,18.0,19.0,20.0,24.0,61.0,1.0,54.0,2.0,45.0,24.0,52.0,37.0,36.0
2020-07-01,1.01414,93.48999786376953,3271.1201171875,0.5360000133514404,0.4530000165104866,10.2,1.34690049,82.0,45.0,43.0,14.0,16.0,63.0,14.0,18.0,15.0,13.0,8.0,100.0,29.0,99.0,41.0,6.0,10.0,48.0,40.0,40.0,47.0,4.0,20.0,23.0,4.0,19.0,12.0,0.0,9.0,17.0,40.0,0.0,50.0,8.0,4.0,25.0,9.0,41.0,21.0,51.0,49.0,67.0,58.0,27.0,22.0,34.0,23.0,44.0,21.0,17.0,27.0,0.0,36.0,28.0,26.0,21.0,100.0,20.0,19.0,22.0,21.0,21.0,64.0,1.0,53.0,2.0,60.0,21.0,47.0,32.0,35.0
